00036	00013	00048	00015	00032	00019	00041	00045	00037	00038	00049	00029	00034	00012	00007	00059	00036	00035	00039	00017	00032	00043	00086	00065	00093	00046	00023	00127	00036	00008	00047	00038	00089	00027	00028	00023	00027	00044	00048	00042	00013	00033	00014	00008	00020	00028	00030	00031	00047	00003	00024	00048	00015	00028	00000	
00014	00018	00025	00005	00037	00029	00005	00018	00028	00041	00013	00044	00032	00033	00033	00014	00031	00016	00024	00061	00032	00035	00080	00043	00012	00065	00031	00043	00054	00082	00078	00050	00057	00035	00038	00010	00038	00038	00022	00032	00012	00018	00012	00029	00017	00002	00038	00000	00019	00028	00023	00018	00017	00029	00000	
00011	00019	00031	00019	00018	00024	00021	00023	00010	00024	00015	00021	00025	00045	00028	00059	00041	00052	00019	00037	00047	00024	00062	00055	00019	00086	00085	00054	00079	00066	00035	00037	00009	00035	00047	00020	00034	00029	00026	00044	00029	00018	00019	00065	00029	00010	00032	00010	00032	00015	00039	00008	00011	00024	00000	
00017	00023	00012	00005	00012	00015	00009	00025	00029	00041	00020	00014	00043	00007	00041	00030	00019	00057	00006	00012	00036	00019	00049	00094	00079	00125	00014	00053	00020	00083	00044	00072	00047	00079	00031	00033	00020	00017	00046	00008	00029	00012	00015	00005	00031	00025	00008	00013	00008	00036	00016	00029	00005	00023	00000	
00018	00004	00017	00031	00022	00010	00016	00026	00031	00050	00051	00024	00019	00018	00022	00028	00057	00020	00034	00019	00013	00033	00068	00084	00014	00069	00108	00063	00048	00076	00027	00040	00037	00045	00045	00042	00014	00031	00023	00006	00026	00019	00039	00031	00021	00004	00056	00017	00028	00016	00018	00018	00015	00018	00000	
00055	00025	00021	00026	00013	00021	00002	00010	00075	00014	00026	00019	00017	00043	00017	00040	00038	00064	00097	00074	00029	00034	00043	00046	00048	00091	00072	00014	00018	00030	00045	00071	00072	00106	00037	00060	00014	00061	00034	00053	00024	00062	00010	00019	00029	00018	00016	00015	00036	00041	00031	00031	00009	00036	00000	
00029	00013	00039	00007	00028	00017	00020	00027	00032	00003	00032	00051	00022	00050	00041	00005	00028	00038	00024	00086	00077	00057	00041	00086	00075	00070	00074	00124	00100	00066	00064	00062	00095	00045	00062	00054	00037	00043	00026	00031	00022	00006	00027	00009	00021	00023	00028	00015	00021	00021	00012	00026	00019	00034	00000	
00023	00010	00011	00002	00019	00014	00049	00014	00012	00062	00025	00021	00010	00030	00011	00071	00051	00036	00050	00046	00042	00054	00128	00049	00069	00126	00084	00092	00055	00034	00078	00053	00075	00104	00055	00021	00015	00022	00060	00034	00025	00010	00012	00009	00027	00006	00007	00021	00046	00023	00009	00016	00013	00044	00000	
00040	00023	00020	00033	00018	00018	00004	00030	00014	00003	00041	00009	00001	00055	00034	00035	00032	00072	00024	00051	00042	00039	00060	00018	00091	00097	00042	00040	00068	00035	00039	00060	00081	00038	00079	00024	00060	00010	00021	00006	00025	00023	00024	00037	00005	00021	00017	00012	00011	00018	00003	00032	00019	00061	00000	
00012	00027	00031	00023	00012	00011	00046	00036	00032	00007	00045	00015	00024	00040	00033	00013	00045	00036	00055	00040	00029	00028	00106	00081	00004	00026	00089	00205	00042	00048	00007	00056	00115	00008	00017	00072	00073	00013	00062	00016	00022	00040	00013	00029	00045	00028	00031	00033	00040	00008	00025	00032	00005	00039	00000	
00009	00034	00036	00010	00032	00004	00013	00031	00038	00007	00033	00028	00068	00023	00035	00028	00046	00060	00026	00007	00049	00019	00112	00126	00075	00157	00048	00066	00044	00065	00076	00073	00110	00032	00036	00028	00009	00034	00076	00045	00042	00057	00066	00021	00025	00017	00026	00013	00046	00035	00028	00009	00035	00012	00000	
00016	00049	00027	00016	00015	00038	00054	00045	00026	00009	00014	00018	00017	00031	00027	00015	00047	00043	00096	00064	00039	00022	00096	00080	00109	00070	00069	00083	00026	00036	00050	00106	00073	00081	00059	00028	00022	00019	00068	00015	00022	00045	00007	00040	00009	00047	00037	00054	00025	00035	00007	00060	00008	00011	00000	
00008	00042	00027	00020	00044	00010	00025	00027	00035	00008	00017	00017	00012	00024	00016	00033	00011	00054	00023	00043	00064	00038	00110	00065	00091	00032	00089	00129	00033	00073	00021	00072	00107	00055	00041	00024	00021	00006	00025	00032	00010	00023	00036	00029	00029	00014	00022	00005	00042	00019	00006	00024	00014	00019	00000	
00048	00060	00016	00035	00021	00025	00013	00031	00035	00025	00008	00037	00019	00019	00050	00040	00037	00063	00028	00072	00036	00037	00011	00090	00084	00028	00121	00153	00066	00012	00104	00084	00057	00105	00065	00017	00038	00029	00037	00026	00029	00031	00028	00004	00022	00025	00014	00035	00005	00031	00012	00051	00039	00010	00000	
00046	00044	00026	00031	00036	00021	00033	00005	00027	00028	00021	00070	00017	00025	00025	00026	00056	00049	00063	00081	00060	00027	00066	00067	00059	00141	00093	00139	00043	00046	00010	00104	00099	00066	00091	00061	00040	00029	00058	00065	00033	00016	00012	00031	00058	00024	00016	00018	00013	00021	00033	00009	00021	00020	00000	
00021	00019	00003	00003	00039	00030	00024	00015	00047	00056	00042	00039	00045	00012	00021	00031	00054	00101	00124	00057	00022	00026	00072	00069	00093	00082	00053	00186	00058	00020	00087	00062	00053	00091	00086	00036	00021	00022	00086	00044	00036	00021	00008	00015	00019	00032	00040	00017	00034	00038	00010	00027	00032	00018	00000	
